                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.1083,                 1.0778,                 1.7635,                0.97862,                0.98486,                0.99055,                0.81664,                0.73668,                0.59307,                 1.4566,             0.00053668,             0.00053668,             0.00053668
                    119,                 1.0602,                 1.0803,                 1.6973,                0.95984,                0.98936,                0.98997,                0.80462,                0.82888,                0.60017,                 1.5022,             0.00053272,             0.00053272,             0.00053272
                    120,                 1.0935,                 1.0953,                 1.7127,                0.96906,                 0.9864,                0.98963,                0.80617,                0.82181,                0.57372,                 1.5048,             0.00052876,             0.00052876,             0.00052876
                    121,                 1.0354,                0.98789,                 1.6859,                0.98229,                0.99135,                0.98996,                  0.771,                0.90658,                0.59923,                 1.6094,              0.0005248,              0.0005248,              0.0005248
                    122,                 1.0593,                0.99461,                 1.6711,                0.98496,                0.98855,                0.99054,                0.78447,                0.85946,                0.58029,                 1.5496,             0.00052084,             0.00052084,             0.00052084
                    123,                 1.0897,                 1.0699,                 1.6898,                 0.9875,                0.98889,                 0.9894,                0.83713,                0.69612,                0.53613,                  1.399,             0.00051688,             0.00051688,             0.00051688
                    124,                 1.0923,                 1.0202,                 1.6926,                0.98856,                0.99263,                0.98928,                0.80563,                0.78413,                0.55653,                 1.4519,             0.00051292,             0.00051292,             0.00051292
                    125,                 1.0757,                 0.9893,                 1.6829,                0.98179,                0.98539,                0.99051,                0.82826,                0.76999,                0.54728,                 1.4427,             0.00050896,             0.00050896,             0.00050896
                    126,                 1.0407,                 1.0028,                 1.6615,                0.98586,                0.98991,                0.99058,                0.81499,                0.78506,                0.56174,                 1.4668,               0.000505,               0.000505,               0.000505
                    127,                 1.0232,                0.95253,                 1.6507,                0.98447,                0.98751,                0.99051,                0.81225,                0.74915,                0.56464,                 1.4157,             0.00050104,             0.00050104,             0.00050104
                    128,                 1.0027,                0.96191,                 1.6321,                0.99326,                 0.9916,                0.99069,                0.82216,                 0.7496,                0.54442,                 1.4337,             0.00049708,             0.00049708,             0.00049708
                    129,                 1.0779,                0.97653,                 1.6512,                0.99146,                0.99172,                 0.9911,                0.82104,                 0.7614,                 0.5305,                 1.4335,             0.00049312,             0.00049312,             0.00049312
                    130,                0.97555,                0.88226,                 1.5986,                0.98643,                0.98638,                0.99076,                0.82103,                0.74735,                0.52582,                 1.4257,             0.00048916,             0.00048916,             0.00048916
                    131,                  1.026,                0.90857,                 1.5949,                0.98614,                0.99344,                0.99122,                0.82729,                0.74648,                0.54532,                 1.4125,              0.0004852,              0.0004852,              0.0004852
